"Plot Title: DRYAS_11T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10139942, SEN S/N: 10139942)","Good Battery (LGR S/N: 10139942)","Coupler Attached (LGR S/N: 10139942)","Host Connected (LGR S/N: 10139942)","Stopped (LGR S/N: 10139942)","End Of File (LGR S/N: 10139942)"
1,07/02/22 04:00:00  PM,6.268,Logged,,,,
2,07/02/22 04:15:00  PM,6.166,,,,,
3,07/02/22 04:30:00  PM,6.166,,,,,
4,07/02/22 04:45:00  PM,6.166,,,,,
5,07/02/22 05:00:00  PM,6.064,,,,,
6,07/02/22 05:15:00  PM,6.064,,,,,
7,07/02/22 05:30:00  PM,6.064,,,,,
8,07/02/22 05:45:00  PM,5.962,,,,,
9,07/02/22 06:00:00  PM,5.860,,,,,
10,07/02/22 06:15:00  PM,5.757,,,,,
11,07/02/22 06:30:00  PM,5.757,,,,,
12,07/02/22 06:45:00  PM,5.757,,,,,
13,07/02/22 07:00:00  PM,5.655,,,,,
14,07/02/22 07:15:00  PM,5.655,,,,,
15,07/02/22 07:30:00  PM,5.552,,,,,
16,07/02/22 07:45:00  PM,5.450,,,,,
17,07/02/22 08:00:00  PM,5.450,,,,,
18,07/02/22 08:15:00  PM,5.347,,,,,
19,07/02/22 08:30:00  PM,5.244,,,,,
20,07/02/22 08:45:00  PM,5.141,,,,,
21,07/02/22 09:00:00  PM,5.141,,,,,
22,07/02/22 09:15:00  PM,5.037,,,,,
23,07/02/22 09:30:00  PM,4.934,,,,,
24,07/02/22 09:45:00  PM,4.727,,,,,
25,07/02/22 10:00:00  PM,4.727,,,,,
26,07/02/22 10:15:00  PM,4.623,,,,,
27,07/02/22 10:30:00  PM,4.519,,,,,
28,07/02/22 10:45:00  PM,4.415,,,,,
29,07/02/22 11:00:00  PM,4.311,,,,,
30,07/02/22 11:15:00  PM,4.311,,,,,
31,07/02/22 11:30:00  PM,4.207,,,,,
32,07/02/22 11:45:00  PM,4.207,,,,,
33,07/03/22 12:00:00  AM,4.102,,,,,
34,07/03/22 12:15:00  AM,3.998,,,,,
35,07/03/22 12:30:00  AM,3.998,,,,,
36,07/03/22 12:45:00  AM,3.893,,,,,
37,07/03/22 01:00:00  AM,3.893,,,,,
38,07/03/22 01:15:00  AM,3.788,,,,,
39,07/03/22 01:30:00  AM,3.788,,,,,
40,07/03/22 01:45:00  AM,3.788,,,,,
41,07/03/22 02:00:00  AM,3.683,,,,,
42,07/03/22 02:15:00  AM,3.683,,,,,
43,07/03/22 02:30:00  AM,3.578,,,,,
44,07/03/22 02:45:00  AM,3.578,,,,,
45,07/03/22 03:00:00  AM,3.472,,,,,
46,07/03/22 03:15:00  AM,3.472,,,,,
47,07/03/22 03:30:00  AM,3.472,,,,,
48,07/03/22 03:45:00  AM,3.367,,,,,
49,07/03/22 04:00:00  AM,3.367,,,,,
50,07/03/22 04:15:00  AM,3.367,,,,,
51,07/03/22 04:30:00  AM,3.367,,,,,
52,07/03/22 04:45:00  AM,3.367,,,,,
53,07/03/22 05:00:00  AM,3.367,,,,,
54,07/03/22 05:15:00  AM,3.261,,,,,
55,07/03/22 05:30:00  AM,3.261,,,,,
56,07/03/22 05:45:00  AM,3.261,,,,,
57,07/03/22 06:00:00  AM,3.367,,,,,
58,07/03/22 06:15:00  AM,3.367,,,,,
59,07/03/22 06:30:00  AM,3.367,,,,,
60,07/03/22 06:45:00  AM,3.472,,,,,
61,07/03/22 07:00:00  AM,3.578,,,,,
62,07/03/22 07:15:00  AM,3.683,,,,,
63,07/03/22 07:30:00  AM,3.788,,,,,
64,07/03/22 07:45:00  AM,3.893,,,,,
65,07/03/22 08:00:00  AM,3.998,,,,,
66,07/03/22 08:15:00  AM,4.102,,,,,
67,07/03/22 08:30:00  AM,4.102,,,,,
68,07/03/22 08:45:00  AM,4.207,,,,,
69,07/03/22 09:00:00  AM,4.207,,,,,
70,07/03/22 09:15:00  AM,4.207,,,,,
71,07/03/22 09:30:00  AM,4.207,,,,,
72,07/03/22 09:45:00  AM,4.207,,,,,
73,07/03/22 10:00:00  AM,4.311,,,,,
74,07/03/22 10:15:00  AM,4.311,,,,,
75,07/03/22 10:30:00  AM,4.415,,,,,
76,07/03/22 10:45:00  AM,4.519,,,,,
77,07/03/22 11:00:00  AM,4.519,,,,,
78,07/03/22 11:15:00  AM,4.623,,,,,
79,07/03/22 11:30:00  AM,4.623,,,,,
80,07/03/22 11:45:00  AM,4.727,,,,,
81,07/03/22 12:00:00  PM,4.727,,,,,
82,07/03/22 12:15:00  PM,4.831,,,,,
83,07/03/22 12:30:00  PM,4.831,,,,,
84,07/03/22 12:45:00  PM,4.831,,,,,
85,07/03/22 01:00:00  PM,4.934,,,,,
86,07/03/22 01:15:00  PM,4.934,,,,,
87,07/03/22 01:30:00  PM,4.934,,,,,
88,07/03/22 01:45:00  PM,4.934,,,,,
89,07/03/22 02:00:00  PM,4.934,,,,,
90,07/03/22 02:15:00  PM,4.934,,,,,
91,07/03/22 02:30:00  PM,4.934,,,,,
92,07/03/22 02:45:00  PM,4.831,,,,,
93,07/03/22 03:00:00  PM,4.727,,,,,
94,07/03/22 03:15:00  PM,4.727,,,,,
95,07/03/22 03:30:00  PM,4.623,,,,,
96,07/03/22 03:45:00  PM,4.623,,,,,
97,07/03/22 04:00:00  PM,4.519,,,,,
98,07/03/22 04:15:00  PM,4.415,,,,,
99,07/03/22 04:30:00  PM,4.311,,,,,
100,07/03/22 04:45:00  PM,4.311,,,,,
101,07/03/22 05:00:00  PM,4.207,,,,,
102,07/03/22 05:15:00  PM,4.207,,,,,
103,07/03/22 05:30:00  PM,4.207,,,,,
104,07/03/22 05:45:00  PM,4.102,,,,,
105,07/03/22 06:00:00  PM,4.102,,,,,
106,07/03/22 06:15:00  PM,3.998,,,,,
107,07/03/22 06:30:00  PM,3.893,,,,,
108,07/03/22 06:45:00  PM,3.893,,,,,
109,07/03/22 07:00:00  PM,3.893,,,,,
110,07/03/22 07:15:00  PM,3.893,,,,,
111,07/03/22 07:30:00  PM,3.788,,,,,
112,07/03/22 07:45:00  PM,3.788,,,,,
113,07/03/22 08:00:00  PM,3.683,,,,,
114,07/03/22 08:15:00  PM,3.578,,,,,
115,07/03/22 08:30:00  PM,3.578,,,,,
116,07/03/22 08:45:00  PM,3.472,,,,,
117,07/03/22 09:00:00  PM,3.472,,,,,
118,07/03/22 09:15:00  PM,3.472,,,,,
119,07/03/22 09:30:00  PM,3.367,,,,,
120,07/03/22 09:45:00  PM,3.261,,,,,
121,07/03/22 10:00:00  PM,3.155,,,,,
122,07/03/22 10:15:00  PM,3.155,,,,,
123,07/03/22 10:30:00  PM,3.049,,,,,
124,07/03/22 10:45:00  PM,2.943,,,,,
125,07/03/22 11:00:00  PM,2.837,,,,,
126,07/03/22 11:15:00  PM,2.837,,,,,
127,07/03/22 11:30:00  PM,2.837,,,,,
128,07/03/22 11:45:00  PM,2.837,,,,,
129,07/04/22 12:00:00  AM,2.730,,,,,
130,07/04/22 12:15:00  AM,2.730,,,,,
131,07/04/22 12:30:00  AM,2.624,,,,,
132,07/04/22 12:45:00  AM,2.624,,,,,
133,07/04/22 01:00:00  AM,2.624,,,,,
134,07/04/22 01:15:00  AM,2.624,,,,,
135,07/04/22 01:30:00  AM,2.624,,,,,
136,07/04/22 01:45:00  AM,2.624,,,,,
137,07/04/22 02:00:00  AM,2.624,,,,,
138,07/04/22 02:15:00  AM,2.730,,,,,
139,07/04/22 02:30:00  AM,2.837,,,,,
140,07/04/22 02:45:00  AM,2.837,,,,,
141,07/04/22 03:00:00  AM,2.837,,,,,
142,07/04/22 03:15:00  AM,2.837,,,,,
143,07/04/22 03:30:00  AM,2.837,,,,,
144,07/04/22 03:45:00  AM,2.837,,,,,
145,07/04/22 04:00:00  AM,2.837,,,,,
146,07/04/22 04:15:00  AM,2.837,,,,,
147,07/04/22 04:30:00  AM,2.837,,,,,
148,07/04/22 04:45:00  AM,2.837,,,,,
149,07/04/22 05:00:00  AM,2.837,,,,,
150,07/04/22 05:15:00  AM,2.837,,,,,
151,07/04/22 05:30:00  AM,2.837,,,,,
152,07/04/22 05:45:00  AM,2.943,,,,,
153,07/04/22 06:00:00  AM,2.943,,,,,
154,07/04/22 06:15:00  AM,2.943,,,,,
155,07/04/22 06:30:00  AM,3.049,,,,,
156,07/04/22 06:45:00  AM,3.049,,,,,
157,07/04/22 07:00:00  AM,3.155,,,,,
158,07/04/22 07:15:00  AM,3.155,,,,,
159,07/04/22 07:30:00  AM,3.261,,,,,
160,07/04/22 07:45:00  AM,3.472,,,,,
161,07/04/22 08:00:00  AM,3.578,,,,,
162,07/04/22 08:15:00  AM,3.683,,,,,
163,07/04/22 08:30:00  AM,3.893,,,,,
164,07/04/22 08:45:00  AM,3.998,,,,,
165,07/04/22 09:00:00  AM,4.207,,,,,
166,07/04/22 09:15:00  AM,4.519,,,,,
167,07/04/22 09:30:00  AM,4.727,,,,,
168,07/04/22 09:45:00  AM,4.934,,,,,
169,07/04/22 10:00:00  AM,5.141,,,,,
170,07/04/22 10:15:00  AM,5.244,,,,,
171,07/04/22 10:30:00  AM,5.552,,,,,
172,07/04/22 10:45:00  AM,5.757,,,,,
173,07/04/22 11:00:00  AM,5.962,,,,,
174,07/04/22 11:15:00  AM,6.166,,,,,
175,07/04/22 11:30:00  AM,6.370,,,,,
176,07/04/22 11:45:00  AM,6.573,,,,,
177,07/04/22 12:00:00  PM,6.674,,,,,
178,07/04/22 12:15:00  PM,6.775,,,,,
179,07/04/22 12:30:00  PM,6.877,,,,,
180,07/04/22 12:45:00  PM,6.978,,,,,
181,07/04/22 01:00:00  PM,7.079,,,,,
182,07/04/22 01:15:00  PM,7.179,,,,,
183,07/04/22 01:30:00  PM,7.179,,,,,
184,07/04/22 01:45:00  PM,7.179,,,,,
185,07/04/22 02:00:00  PM,7.179,,,,,
186,07/04/22 02:15:00  PM,7.179,,,,,
187,07/04/22 02:30:00  PM,7.280,,,,,
188,07/04/22 02:45:00  PM,7.381,,,,,
189,07/04/22 03:00:00  PM,7.280,,,,,
190,07/04/22 03:15:00  PM,7.280,,,,,
191,07/04/22 03:30:00  PM,7.280,,,,,
192,07/04/22 03:45:00  PM,7.179,,,,,
193,07/04/22 04:00:00  PM,6.978,,,,,
194,07/04/22 04:15:00  PM,6.877,,,,,
195,07/04/22 04:30:00  PM,6.775,,,,,
196,07/04/22 04:45:00  PM,6.674,,,,,
197,07/04/22 05:00:00  PM,6.471,,,,,
198,07/04/22 05:15:00  PM,6.370,,,,,
199,07/04/22 05:30:00  PM,6.268,,,,,
200,07/04/22 05:45:00  PM,6.268,,,,,
201,07/04/22 06:00:00  PM,6.166,,,,,
202,07/04/22 06:15:00  PM,6.166,,,,,
203,07/04/22 06:30:00  PM,6.166,,,,,
204,07/04/22 06:45:00  PM,6.166,,,,,
205,07/04/22 07:00:00  PM,6.166,,,,,
206,07/04/22 07:15:00  PM,6.166,,,,,
207,07/04/22 07:30:00  PM,6.064,,,,,
208,07/04/22 07:45:00  PM,6.064,,,,,
209,07/04/22 08:00:00  PM,5.962,,,,,
210,07/04/22 08:15:00  PM,5.757,,,,,
211,07/04/22 08:30:00  PM,5.757,,,,,
212,07/04/22 08:45:00  PM,5.757,,,,,
213,07/04/22 09:00:00  PM,5.860,,,,,
214,07/04/22 09:15:00  PM,5.655,,,,,
215,07/04/22 09:30:00  PM,5.552,,,,,
216,07/04/22 09:45:00  PM,5.450,,,,,
217,07/04/22 10:00:00  PM,5.552,,,,,
218,07/04/22 10:15:00  PM,5.450,,,,,
219,07/04/22 10:30:00  PM,5.347,,,,,
220,07/04/22 10:45:00  PM,5.244,,,,,
221,07/04/22 11:00:00  PM,5.244,,,,,
222,07/04/22 11:15:00  PM,5.244,,,,,
223,07/04/22 11:30:00  PM,5.244,,,,,
224,07/04/22 11:45:00  PM,5.347,,,,,
225,07/05/22 12:00:00  AM,5.244,,,,,
226,07/05/22 12:15:00  AM,5.141,,,,,
