"Plot Title: DRYAS_13C_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20422515, SEN S/N: 20422515, LBL: -5cm_soil)","Coupler Attached (LGR S/N: 20422515)","Host Connected (LGR S/N: 20422515)","Stopped (LGR S/N: 20422515)","End Of File (LGR S/N: 20422515)"
1,07/02/22 04:00:00  PM,7.079,,,,
2,07/02/22 04:30:00  PM,7.079,,,,
3,07/02/22 05:00:00  PM,6.978,,,,
4,07/02/22 05:30:00  PM,6.978,,,,
5,07/02/22 06:00:00  PM,6.877,,,,
6,07/02/22 06:30:00  PM,6.775,,,,
7,07/02/22 07:00:00  PM,6.674,,,,
8,07/02/22 07:30:00  PM,6.471,,,,
9,07/02/22 08:00:00  PM,6.370,,,,
10,07/02/22 08:30:00  PM,6.268,,,,
11,07/02/22 09:00:00  PM,6.064,,,,
12,07/02/22 09:30:00  PM,5.962,,,,
13,07/02/22 10:00:00  PM,5.860,,,,
14,07/02/22 10:30:00  PM,5.655,,,,
15,07/02/22 11:00:00  PM,5.552,,,,
16,07/02/22 11:30:00  PM,5.450,,,,
17,07/03/22 12:00:00  AM,5.347,,,,
18,07/03/22 12:30:00  AM,5.244,,,,
19,07/03/22 01:00:00  AM,5.037,,,,
20,07/03/22 01:30:00  AM,4.934,,,,
21,07/03/22 02:00:00  AM,4.934,,,,
22,07/03/22 02:30:00  AM,4.831,,,,
23,07/03/22 03:00:00  AM,4.831,,,,
24,07/03/22 03:30:00  AM,4.727,,,,
25,07/03/22 04:00:00  AM,4.623,,,,
26,07/03/22 04:30:00  AM,4.623,,,,
27,07/03/22 05:00:00  AM,4.623,,,,
28,07/03/22 05:30:00  AM,4.519,,,,
29,07/03/22 06:00:00  AM,4.519,,,,
30,07/03/22 06:30:00  AM,4.519,,,,
31,07/03/22 07:00:00  AM,4.727,,,,
32,07/03/22 07:30:00  AM,4.831,,,,
33,07/03/22 08:00:00  AM,5.037,,,,
