"Plot Title: DRYAS_13T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547757, SEN S/N: 20547757, LBL: -5cm_soil)","Coupler Attached (LGR S/N: 20547757)","Host Connected (LGR S/N: 20547757)","Stopped (LGR S/N: 20547757)","End Of File (LGR S/N: 20547757)"
1,07/02/22 04:00:00  PM,5.450,,,,
2,07/02/22 04:30:00  PM,5.450,,,,
3,07/02/22 05:00:00  PM,5.244,,,,
4,07/02/22 05:30:00  PM,5.244,,,,
5,07/02/22 06:00:00  PM,5.037,,,,
6,07/02/22 06:30:00  PM,5.037,,,,
7,07/02/22 07:00:00  PM,4.934,,,,
8,07/02/22 07:30:00  PM,4.831,,,,
9,07/02/22 08:00:00  PM,4.934,,,,
10,07/02/22 08:30:00  PM,4.623,,,,
11,07/02/22 09:00:00  PM,4.623,,,,
12,07/02/22 09:30:00  PM,4.623,,,,
13,07/02/22 10:00:00  PM,4.519,,,,
14,07/02/22 10:30:00  PM,4.415,,,,
15,07/02/22 11:00:00  PM,4.311,,,,
16,07/02/22 11:30:00  PM,4.311,,,,
17,07/03/22 12:00:00  AM,4.207,,,,
18,07/03/22 12:30:00  AM,4.207,,,,
19,07/03/22 01:00:00  AM,3.998,,,,
20,07/03/22 01:30:00  AM,3.998,,,,
21,07/03/22 02:00:00  AM,3.998,,,,
22,07/03/22 02:30:00  AM,3.893,,,,
23,07/03/22 03:00:00  AM,3.893,,,,
24,07/03/22 03:30:00  AM,3.788,,,,
25,07/03/22 04:00:00  AM,3.788,,,,
26,07/03/22 04:30:00  AM,3.683,,,,
27,07/03/22 05:00:00  AM,3.683,,,,
28,07/03/22 05:30:00  AM,3.578,,,,
29,07/03/22 06:00:00  AM,3.578,,,,
30,07/03/22 06:30:00  AM,3.683,,,,
31,07/03/22 07:00:00  AM,3.788,,,,
32,07/03/22 07:30:00  AM,3.893,,,,
33,07/03/22 08:00:00  AM,3.998,,,,
34,07/03/22 08:30:00  AM,3.998,,,,
35,07/03/22 09:00:00  AM,3.998,,,,
36,07/03/22 09:30:00  AM,3.893,,,,
37,07/03/22 10:00:00  AM,3.998,,,,
38,07/03/22 10:30:00  AM,4.207,,,,
39,07/03/22 11:00:00  AM,4.207,,,,
40,07/03/22 11:30:00  AM,4.207,,,,
41,07/03/22 12:00:00  PM,4.207,,,,
42,07/03/22 12:30:00  PM,4.207,,,,
43,07/03/22 01:00:00  PM,4.207,,,,
44,07/03/22 01:30:00  PM,4.207,,,,
45,07/03/22 02:00:00  PM,4.207,,,,
46,07/03/22 02:30:00  PM,4.311,,,,
47,07/03/22 03:00:00  PM,4.207,,,,
48,07/03/22 03:30:00  PM,4.311,,,,
49,07/03/22 04:00:00  PM,4.207,,,,
50,07/03/22 04:30:00  PM,4.207,,,,
51,07/03/22 05:00:00  PM,4.102,,,,
52,07/03/22 05:30:00  PM,4.102,,,,
53,07/03/22 06:00:00  PM,3.998,,,,
54,07/03/22 06:30:00  PM,3.998,,,,
55,07/03/22 07:00:00  PM,3.998,,,,
56,07/03/22 07:30:00  PM,3.893,,,,
57,07/03/22 08:00:00  PM,3.788,,,,
58,07/03/22 08:30:00  PM,3.788,,,,
59,07/03/22 09:00:00  PM,3.683,,,,
60,07/03/22 09:30:00  PM,3.578,,,,
61,07/03/22 10:00:00  PM,3.578,,,,
62,07/03/22 10:30:00  PM,3.472,,,,
63,07/03/22 11:00:00  PM,3.261,,,,
64,07/03/22 11:30:00  PM,3.367,,,,
65,07/04/22 12:00:00  AM,3.261,,,,
66,07/04/22 12:30:00  AM,3.261,,,,
67,07/04/22 01:00:00  AM,3.261,,,,
68,07/04/22 01:30:00  AM,3.155,,,,
69,07/04/22 02:00:00  AM,3.155,,,,
70,07/04/22 02:30:00  AM,3.155,,,,
71,07/04/22 03:00:00  AM,3.155,,,,
72,07/04/22 03:30:00  AM,3.155,,,,
73,07/04/22 04:00:00  AM,3.155,,,,
74,07/04/22 04:30:00  AM,3.155,,,,
75,07/04/22 05:00:00  AM,3.261,,,,
76,07/04/22 05:30:00  AM,3.155,,,,
77,07/04/22 06:00:00  AM,3.261,,,,
78,07/04/22 06:30:00  AM,3.261,,,,
79,07/04/22 07:00:00  AM,3.367,,,,
80,07/04/22 07:30:00  AM,3.578,,,,
81,07/04/22 08:00:00  AM,3.683,,,,
82,07/04/22 08:30:00  AM,3.788,,,,
83,07/04/22 09:00:00  AM,3.788,,,,
84,07/04/22 09:30:00  AM,3.788,,,,
85,07/04/22 10:00:00  AM,3.788,,,,
86,07/04/22 10:30:00  AM,3.893,,,,
87,07/04/22 11:00:00  AM,3.893,,,,
88,07/04/22 11:30:00  AM,3.998,,,,
89,07/04/22 12:00:00  PM,3.998,,,,
90,07/04/22 12:30:00  PM,4.102,,,,
91,07/04/22 01:00:00  PM,4.102,,,,
92,07/04/22 01:30:00  PM,4.207,,,,
93,07/04/22 02:00:00  PM,4.311,,,,
94,07/04/22 02:30:00  PM,4.311,,,,
95,07/04/22 03:00:00  PM,4.415,,,,
96,07/04/22 03:30:00  PM,4.415,,,,
97,07/04/22 04:00:00  PM,4.519,,,,
98,07/04/22 04:30:00  PM,4.519,,,,
99,07/04/22 05:00:00  PM,4.519,,,,
100,07/04/22 05:30:00  PM,4.623,,,,
101,07/04/22 06:00:00  PM,4.623,,,,
102,07/04/22 06:30:00  PM,4.623,,,,
103,07/04/22 07:00:00  PM,4.623,,,,
104,07/04/22 07:30:00  PM,4.727,,,,
105,07/04/22 08:00:00  PM,4.519,,,,
106,07/04/22 08:30:00  PM,4.519,,,,
107,07/04/22 09:00:00  PM,4.727,,,,
108,07/04/22 09:30:00  PM,4.519,,,,
109,07/04/22 10:00:00  PM,4.727,,,,
110,07/04/22 10:30:00  PM,4.519,,,,
111,07/04/22 11:00:00  PM,4.519,,,,
112,07/04/22 11:30:00  PM,4.415,,,,
113,07/05/22 12:00:00  AM,4.519,,,,
114,07/05/22 12:30:00  AM,4.311,,,,
115,07/05/22 01:00:00  AM,4.415,,,,
116,07/05/22 01:30:00  AM,4.207,,,,
117,07/05/22 02:00:00  AM,4.311,,,,
118,07/05/22 02:30:00  AM,4.311,,,,
119,07/05/22 03:00:00  AM,4.311,,,,
120,07/05/22 03:30:00  AM,4.519,,,,
121,07/05/22 04:00:00  AM,4.519,,,,
122,07/05/22 04:30:00  AM,4.415,,,,
123,07/05/22 05:00:00  AM,4.311,,,,
124,07/05/22 05:30:00  AM,4.519,,,,
125,07/05/22 06:00:00  AM,4.519,,,,
126,07/05/22 06:30:00  AM,4.519,,,,
127,07/05/22 07:00:00  AM,4.519,,,,
128,07/05/22 07:30:00  AM,4.519,,,,
129,07/05/22 08:00:00  AM,4.727,,,,
130,07/05/22 08:30:00  AM,4.934,,,,
131,07/05/22 09:00:00  AM,5.037,,,,
132,07/05/22 09:30:00  AM,5.244,,,,
133,07/05/22 10:00:00  AM,5.450,,,,
134,07/05/22 10:30:00  AM,5.450,,,,
135,07/05/22 11:00:00  AM,5.552,,,,
136,07/05/22 11:30:00  AM,5.552,,,,
137,07/05/22 12:00:00  PM,5.450,,,,
138,07/05/22 12:30:00  PM,5.552,,,,
139,07/05/22 01:00:00  PM,5.655,,,,
140,07/05/22 01:30:00  PM,5.757,,,,
141,07/05/22 02:00:00  PM,5.860,,,,
142,07/05/22 02:30:00  PM,5.962,,,,
143,07/05/22 03:00:00  PM,5.962,,,,
144,07/05/22 03:30:00  PM,6.166,,,,
145,07/05/22 04:00:00  PM,6.064,,,,
146,07/05/22 04:30:00  PM,6.166,,,,
147,07/05/22 05:00:00  PM,6.268,,,,
148,07/05/22 05:30:00  PM,6.166,,,,
149,07/05/22 06:00:00  PM,6.370,,,,
150,07/05/22 06:30:00  PM,6.166,,,,
151,07/05/22 07:00:00  PM,6.064,,,,
152,07/05/22 07:30:00  PM,5.962,,,,
153,07/05/22 08:00:00  PM,5.860,,,,
154,07/05/22 08:30:00  PM,5.757,,,,
155,07/05/22 09:00:00  PM,5.552,,,,
156,07/05/22 09:30:00  PM,5.552,,,,
157,07/05/22 10:00:00  PM,5.450,,,,
158,07/05/22 10:30:00  PM,5.244,,,,
159,07/05/22 11:00:00  PM,5.244,,,,
160,07/05/22 11:30:00  PM,5.244,,,,
161,07/06/22 12:00:00  AM,5.141,,,,
162,07/06/22 12:30:00  AM,5.037,,,,
163,07/06/22 01:00:00  AM,5.037,,,,
164,07/06/22 01:30:00  AM,5.037,,,,
165,07/06/22 02:00:00  AM,5.037,,,,
166,07/06/22 02:30:00  AM,4.934,,,,
167,07/06/22 03:00:00  AM,4.934,,,,
168,07/06/22 03:30:00  AM,4.934,,,,
169,07/06/22 04:00:00  AM,4.934,,,,
170,07/06/22 04:30:00  AM,4.934,,,,
171,07/06/22 05:00:00  AM,4.934,,,,
172,07/06/22 05:30:00  AM,5.037,,,,
173,07/06/22 06:00:00  AM,4.934,,,,
174,07/06/22 06:30:00  AM,4.727,,,,
175,07/06/22 07:00:00  AM,4.623,,,,
176,07/06/22 07:30:00  AM,4.519,,,,
177,07/06/22 08:00:00  AM,4.623,,,,
178,07/06/22 08:30:00  AM,4.727,,,,
179,07/06/22 09:00:00  AM,4.727,,,,
180,07/06/22 09:30:00  AM,4.727,,,,
181,07/06/22 10:00:00  AM,4.831,,,,
182,07/06/22 10:30:00  AM,4.727,,,,
183,07/06/22 11:00:00  AM,4.727,,,,
184,07/06/22 11:30:00  AM,4.831,,,,
185,07/06/22 12:00:00  PM,4.934,,,,
186,07/06/22 12:30:00  PM,4.934,,,,
187,07/06/22 01:00:00  PM,4.831,,,,
188,07/06/22 01:30:00  PM,4.831,,,,
189,07/06/22 02:00:00  PM,4.831,,,,
190,07/06/22 02:30:00  PM,4.934,,,,
191,07/06/22 03:00:00  PM,5.037,,,,
192,07/06/22 03:30:00  PM,5.037,,,,
193,07/06/22 04:00:00  PM,4.934,,,,
194,07/06/22 04:30:00  PM,4.934,,,,
195,07/06/22 05:00:00  PM,4.934,,,,
196,07/06/22 05:30:00  PM,4.934,,,,
197,07/06/22 06:00:00  PM,4.934,,,,
198,07/06/22 06:30:00  PM,4.934,,,,
199,07/06/22 07:00:00  PM,5.037,,,,
200,07/06/22 07:30:00  PM,5.037,,,,
201,07/06/22 08:00:00  PM,4.934,,,,
202,07/06/22 08:30:00  PM,4.934,,,,
203,07/06/22 09:00:00  PM,4.831,,,,
204,07/06/22 09:30:00  PM,4.727,,,,
205,07/06/22 10:00:00  PM,4.727,,,,
206,07/06/22 10:30:00  PM,4.727,,,,
207,07/06/22 11:00:00  PM,4.623,,,,
208,07/06/22 11:30:00  PM,4.519,,,,
209,07/07/22 12:00:00  AM,4.519,,,,
210,07/07/22 12:30:00  AM,4.415,,,,
211,07/07/22 01:00:00  AM,4.415,,,,
212,07/07/22 01:30:00  AM,4.415,,,,
213,07/07/22 02:00:00  AM,4.311,,,,
