"Plot Title: DRYAS_14C_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740235, SEN S/N: 9740235, LBL: -5cm_soil)","Good Battery (LGR S/N: 9740235)","Host Connected (LGR S/N: 9740235)","Coupler Attached (LGR S/N: 9740235)","Stopped (LGR S/N: 9740235)","End Of File (LGR S/N: 9740235)"
1,07/02/22 04:00:00  PM,8.978,Logged,,,,
2,07/02/22 04:15:00  PM,8.879,,,,,
3,07/02/22 04:30:00  PM,8.879,,,,,
4,07/02/22 04:45:00  PM,8.879,,,,,
5,07/02/22 05:00:00  PM,8.680,,,,,
6,07/02/22 05:15:00  PM,8.680,,,,,
7,07/02/22 05:30:00  PM,8.680,,,,,
8,07/02/22 05:45:00  PM,8.581,,,,,
9,07/02/22 06:00:00  PM,8.382,,,,,
10,07/02/22 06:15:00  PM,8.282,,,,,
11,07/02/22 06:30:00  PM,8.282,,,,,
12,07/02/22 06:45:00  PM,8.282,,,,,
13,07/02/22 07:00:00  PM,8.082,,,,,
14,07/02/22 07:15:00  PM,7.983,,,,,
15,07/02/22 07:30:00  PM,7.882,,,,,
16,07/02/22 07:45:00  PM,7.782,,,,,
17,07/02/22 08:00:00  PM,7.782,,,,,
18,07/02/22 08:15:00  PM,7.682,,,,,
19,07/02/22 08:30:00  PM,7.481,,,,,
20,07/02/22 08:45:00  PM,7.381,,,,,
21,07/02/22 09:00:00  PM,7.381,,,,,
22,07/02/22 09:15:00  PM,7.280,,,,,
23,07/02/22 09:30:00  PM,7.179,,,,,
24,07/02/22 09:45:00  PM,7.079,,,,,
25,07/02/22 10:00:00  PM,6.978,,,,,
26,07/02/22 10:15:00  PM,6.877,,,,,
27,07/02/22 10:30:00  PM,6.775,,,,,
28,07/02/22 10:45:00  PM,6.674,,,,,
29,07/02/22 11:00:00  PM,6.573,,,,,
30,07/02/22 11:15:00  PM,6.573,,,,,
31,07/02/22 11:30:00  PM,6.471,,,,,
32,07/02/22 11:45:00  PM,6.370,,,,,
33,07/03/22 12:00:00  AM,6.268,,,,,
34,07/03/22 12:15:00  AM,6.166,,,,,
35,07/03/22 12:30:00  AM,6.166,,,,,
36,07/03/22 12:45:00  AM,6.064,,,,,
37,07/03/22 01:00:00  AM,5.962,,,,,
38,07/03/22 01:15:00  AM,5.962,,,,,
39,07/03/22 01:30:00  AM,5.860,,,,,
40,07/03/22 01:45:00  AM,5.860,,,,,
41,07/03/22 02:00:00  AM,5.860,,,,,
42,07/03/22 02:15:00  AM,5.757,,,,,
43,07/03/22 02:30:00  AM,5.757,,,,,
44,07/03/22 02:45:00  AM,5.655,,,,,
45,07/03/22 03:00:00  AM,5.655,,,,,
46,07/03/22 03:15:00  AM,5.552,,,,,
47,07/03/22 03:30:00  AM,5.450,,,,,
48,07/03/22 03:45:00  AM,5.450,,,,,
49,07/03/22 04:00:00  AM,5.450,,,,,
50,07/03/22 04:15:00  AM,5.450,,,,,
51,07/03/22 04:30:00  AM,5.347,,,,,
52,07/03/22 04:45:00  AM,5.347,,,,,
53,07/03/22 05:00:00  AM,5.244,,,,,
54,07/03/22 05:15:00  AM,5.244,,,,,
55,07/03/22 05:30:00  AM,5.244,,,,,
56,07/03/22 05:45:00  AM,5.244,,,,,
57,07/03/22 06:00:00  AM,5.244,,,,,
58,07/03/22 06:15:00  AM,5.244,,,,,
59,07/03/22 06:30:00  AM,5.347,,,,,
60,07/03/22 06:45:00  AM,5.552,,,,,
61,07/03/22 07:00:00  AM,5.655,,,,,
62,07/03/22 07:15:00  AM,5.757,,,,,
63,07/03/22 07:30:00  AM,6.064,,,,,
64,07/03/22 07:45:00  AM,6.166,,,,,
65,07/03/22 08:00:00  AM,6.268,,,,,
66,07/03/22 08:15:00  AM,6.268,,,,,
67,07/03/22 08:30:00  AM,6.370,,,,,
68,07/03/22 08:45:00  AM,6.471,,,,,
69,07/03/22 09:00:00  AM,6.573,,,,,
70,07/03/22 09:15:00  AM,6.573,,,,,
71,07/03/22 09:30:00  AM,6.573,,,,,
72,07/03/22 09:45:00  AM,6.573,,,,,
73,07/03/22 10:00:00  AM,6.674,,,,,
74,07/03/22 10:15:00  AM,6.775,,,,,
75,07/03/22 10:30:00  AM,6.877,,,,,
76,07/03/22 10:45:00  AM,6.978,,,,,
77,07/03/22 11:00:00  AM,7.079,,,,,
78,07/03/22 11:15:00  AM,7.179,,,,,
79,07/03/22 11:30:00  AM,7.179,,,,,
80,07/03/22 11:45:00  AM,7.179,,,,,
81,07/03/22 12:00:00  PM,7.280,,,,,
82,07/03/22 12:15:00  PM,7.280,,,,,
83,07/03/22 12:30:00  PM,7.280,,,,,
84,07/03/22 12:45:00  PM,7.280,,,,,
85,07/03/22 01:00:00  PM,7.381,,,,,
86,07/03/22 01:15:00  PM,7.381,,,,,
87,07/03/22 01:30:00  PM,7.381,,,,,
88,07/03/22 01:45:00  PM,7.280,,,,,
89,07/03/22 02:00:00  PM,7.381,,,,,
90,07/03/22 02:15:00  PM,7.381,,,,,
91,07/03/22 02:30:00  PM,7.280,,,,,
92,07/03/22 02:45:00  PM,7.179,,,,,
93,07/03/22 03:00:00  PM,7.179,,,,,
94,07/03/22 03:15:00  PM,7.079,,,,,
95,07/03/22 03:30:00  PM,7.079,,,,,
96,07/03/22 03:45:00  PM,6.978,,,,,
97,07/03/22 04:00:00  PM,6.775,,,,,
98,07/03/22 04:15:00  PM,6.775,,,,,
99,07/03/22 04:30:00  PM,6.674,,,,,
100,07/03/22 04:45:00  PM,6.573,,,,,
101,07/03/22 05:00:00  PM,6.573,,,,,
102,07/03/22 05:15:00  PM,6.573,,,,,
103,07/03/22 05:30:00  PM,6.471,,,,,
104,07/03/22 05:45:00  PM,6.471,,,,,
105,07/03/22 06:00:00  PM,6.370,,,,,
106,07/03/22 06:15:00  PM,6.268,,,,,
107,07/03/22 06:30:00  PM,6.166,,,,,
108,07/03/22 06:45:00  PM,6.166,,,,,
109,07/03/22 07:00:00  PM,6.064,,,,,
110,07/03/22 07:15:00  PM,6.064,,,,,
111,07/03/22 07:30:00  PM,5.962,,,,,
112,07/03/22 07:45:00  PM,5.860,,,,,
113,07/03/22 08:00:00  PM,5.757,,,,,
114,07/03/22 08:15:00  PM,5.655,,,,,
115,07/03/22 08:30:00  PM,5.655,,,,,
116,07/03/22 08:45:00  PM,5.552,,,,,
117,07/03/22 09:00:00  PM,5.552,,,,,
118,07/03/22 09:15:00  PM,5.450,,,,,
119,07/03/22 09:30:00  PM,5.347,,,,,
120,07/03/22 09:45:00  PM,5.244,,,,,
121,07/03/22 10:00:00  PM,5.141,,,,,
122,07/03/22 10:15:00  PM,5.037,,,,,
123,07/03/22 10:30:00  PM,4.934,,,,,
124,07/03/22 10:45:00  PM,4.831,,,,,
125,07/03/22 11:00:00  PM,4.727,,,,,
126,07/03/22 11:15:00  PM,4.727,,,,,
127,07/03/22 11:30:00  PM,4.623,,,,,
128,07/03/22 11:45:00  PM,4.623,,,,,
129,07/04/22 12:00:00  AM,4.519,,,,,
130,07/04/22 12:15:00  AM,4.519,,,,,
131,07/04/22 12:30:00  AM,4.519,,,,,
132,07/04/22 12:45:00  AM,4.415,,,,,
133,07/04/22 01:00:00  AM,4.415,,,,,
134,07/04/22 01:15:00  AM,4.415,,,,,
135,07/04/22 01:30:00  AM,4.311,,,,,
136,07/04/22 01:45:00  AM,4.311,,,,,
137,07/04/22 02:00:00  AM,4.311,,,,,
138,07/04/22 02:15:00  AM,4.415,,,,,
139,07/04/22 02:30:00  AM,4.415,,,,,
140,07/04/22 02:45:00  AM,4.519,,,,,
141,07/04/22 03:00:00  AM,4.519,,,,,
142,07/04/22 03:15:00  AM,4.519,,,,,
143,07/04/22 03:30:00  AM,4.519,,,,,
144,07/04/22 03:45:00  AM,4.519,,,,,
145,07/04/22 04:00:00  AM,4.519,,,,,
146,07/04/22 04:15:00  AM,4.519,,,,,
147,07/04/22 04:30:00  AM,4.623,,,,,
148,07/04/22 04:45:00  AM,4.623,,,,,
149,07/04/22 05:00:00  AM,4.623,,,,,
150,07/04/22 05:15:00  AM,4.727,,,,,
151,07/04/22 05:30:00  AM,4.727,,,,,
152,07/04/22 05:45:00  AM,4.831,,,,,
153,07/04/22 06:00:00  AM,4.831,,,,,
154,07/04/22 06:15:00  AM,4.934,,,,,
155,07/04/22 06:30:00  AM,4.934,,,,,
156,07/04/22 06:45:00  AM,5.037,,,,,
157,07/04/22 07:00:00  AM,5.141,,,,,
158,07/04/22 07:15:00  AM,5.244,,,,,
159,07/04/22 07:30:00  AM,5.347,,,,,
160,07/04/22 07:45:00  AM,5.552,,,,,
161,07/04/22 08:00:00  AM,5.757,,,,,
162,07/04/22 08:15:00  AM,5.962,,,,,
163,07/04/22 08:30:00  AM,6.166,,,,,
164,07/04/22 08:45:00  AM,6.370,,,,,
165,07/04/22 09:00:00  AM,6.573,,,,,
166,07/04/22 09:15:00  AM,6.877,,,,,
167,07/04/22 09:30:00  AM,7.179,,,,,
168,07/04/22 09:45:00  AM,7.481,,,,,
169,07/04/22 10:00:00  AM,7.682,,,,,
170,07/04/22 10:15:00  AM,7.882,,,,,
171,07/04/22 10:30:00  AM,8.182,,,,,
172,07/04/22 10:45:00  AM,8.481,,,,,
173,07/04/22 11:00:00  AM,8.779,,,,,
174,07/04/22 11:15:00  AM,8.879,,,,,
175,07/04/22 11:30:00  AM,9.077,,,,,
176,07/04/22 11:45:00  AM,9.176,,,,,
177,07/04/22 12:00:00  PM,9.373,,,,,
178,07/04/22 12:15:00  PM,9.472,,,,,
179,07/04/22 12:30:00  PM,9.571,,,,,
180,07/04/22 12:45:00  PM,9.768,,,,,
181,07/04/22 01:00:00  PM,9.866,,,,,
182,07/04/22 01:15:00  PM,9.866,,,,,
183,07/04/22 01:30:00  PM,9.965,,,,,
184,07/04/22 01:45:00  PM,9.965,,,,,
185,07/04/22 02:00:00  PM,9.965,,,,,
186,07/04/22 02:15:00  PM,9.965,,,,,
187,07/04/22 02:30:00  PM,9.965,,,,,
188,07/04/22 02:45:00  PM,9.866,,,,,
189,07/04/22 03:00:00  PM,9.866,,,,,
190,07/04/22 03:15:00  PM,9.768,,,,,
191,07/04/22 03:30:00  PM,9.669,,,,,
192,07/04/22 03:45:00  PM,9.472,,,,,
193,07/04/22 04:00:00  PM,9.373,,,,,
194,07/04/22 04:15:00  PM,9.275,,,,,
195,07/04/22 04:30:00  PM,9.176,,,,,
196,07/04/22 04:45:00  PM,8.978,,,,,
197,07/04/22 05:00:00  PM,8.779,,,,,
198,07/04/22 05:15:00  PM,8.680,,,,,
199,07/04/22 05:30:00  PM,8.581,,,,,
200,07/04/22 05:45:00  PM,8.382,,,,,
201,07/04/22 06:00:00  PM,8.182,,,,,
202,07/04/22 06:15:00  PM,8.082,,,,,
203,07/04/22 06:30:00  PM,7.882,,,,,
204,07/04/22 06:45:00  PM,7.782,,,,,
205,07/04/22 07:00:00  PM,7.582,,,,,
206,07/04/22 07:15:00  PM,7.481,,,,,
207,07/04/22 07:30:00  PM,7.280,,,,,
208,07/04/22 07:45:00  PM,7.079,,,,,
209,07/04/22 08:00:00  PM,6.978,,,,,
210,07/04/22 08:15:00  PM,6.775,,,,,
211,07/04/22 08:30:00  PM,6.573,,,,,
212,07/04/22 08:45:00  PM,6.573,,,,,
213,07/04/22 09:00:00  PM,6.471,,,,,
214,07/04/22 09:15:00  PM,6.370,,,,,
215,07/04/22 09:30:00  PM,6.268,,,,,
216,07/04/22 09:45:00  PM,6.166,,,,,
217,07/04/22 10:00:00  PM,6.064,,,,,
218,07/04/22 10:15:00  PM,5.962,,,,,
219,07/04/22 10:30:00  PM,5.757,,,,,
220,07/04/22 10:45:00  PM,5.655,,,,,
221,07/04/22 11:00:00  PM,5.655,,,,,
222,07/04/22 11:15:00  PM,5.655,,,,,
223,07/04/22 11:30:00  PM,5.655,,,,,
224,07/04/22 11:45:00  PM,5.655,,,,,
225,07/05/22 12:00:00  AM,5.655,,,,,
226,07/05/22 12:15:00  AM,5.655,,,,,
227,07/05/22 12:30:00  AM,5.655,,,,,
228,07/05/22 12:45:00  AM,5.757,,,,,
229,07/05/22 01:00:00  AM,5.860,,,,,
230,07/05/22 01:15:00  AM,5.860,,,,,
231,07/05/22 01:30:00  AM,5.962,,,,,
232,07/05/22 01:45:00  AM,6.064,,,,,
233,07/05/22 02:00:00  AM,6.166,,,,,
234,07/05/22 02:15:00  AM,6.370,,,,,
235,07/05/22 02:30:00  AM,6.573,,,,,
236,07/05/22 02:45:00  AM,6.674,,,,,
237,07/05/22 03:00:00  AM,6.877,,,,,
238,07/05/22 03:15:00  AM,6.978,,,,,
239,07/05/22 03:30:00  AM,7.179,,,,,
240,07/05/22 03:45:00  AM,7.280,,,,,
241,07/05/22 04:00:00  AM,7.481,,,,,
242,07/05/22 04:15:00  AM,7.682,,,,,
243,07/05/22 04:30:00  AM,7.582,,,,,
244,07/05/22 04:45:00  AM,7.481,,,,,
