"Plot Title: DRYAS_14T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10139941, SEN S/N: 10139941, LBL: -5cm_soil)","Good Battery (LGR S/N: 10139941)","Coupler Attached (LGR S/N: 10139941)","Host Connected (LGR S/N: 10139941)","Stopped (LGR S/N: 10139941)","End Of File (LGR S/N: 10139941)"
1,07/02/22 04:00:00  PM,5.347,,,,,
2,07/02/22 04:15:00  PM,5.347,,,,,
3,07/02/22 04:30:00  PM,5.347,,,,,
4,07/02/22 04:45:00  PM,5.347,,,,,
5,07/02/22 05:00:00  PM,5.244,,,,,
6,07/02/22 05:15:00  PM,5.244,,,,,
7,07/02/22 05:30:00  PM,5.244,,,,,
8,07/02/22 05:45:00  PM,5.244,,,,,
9,07/02/22 06:00:00  PM,5.244,,,,,
10,07/02/22 06:15:00  PM,5.141,,,,,
11,07/02/22 06:30:00  PM,5.141,,,,,
12,07/02/22 06:45:00  PM,5.141,,,,,
13,07/02/22 07:00:00  PM,5.037,,,,,
14,07/02/22 07:15:00  PM,5.037,,,,,
15,07/02/22 07:30:00  PM,4.934,,,,,
16,07/02/22 07:45:00  PM,4.934,,,,,
17,07/02/22 08:00:00  PM,4.934,,,,,
18,07/02/22 08:15:00  PM,4.831,,,,,
19,07/02/22 08:30:00  PM,4.831,,,,,
20,07/02/22 08:45:00  PM,4.727,,,,,
21,07/02/22 09:00:00  PM,4.727,,,,,
22,07/02/22 09:15:00  PM,4.623,,,,,
23,07/02/22 09:30:00  PM,4.623,,,,,
24,07/02/22 09:45:00  PM,4.519,,,,,
25,07/02/22 10:00:00  PM,4.519,,,,,
26,07/02/22 10:15:00  PM,4.415,,,,,
27,07/02/22 10:30:00  PM,4.415,,,,,
28,07/02/22 10:45:00  PM,4.311,,,,,
29,07/02/22 11:00:00  PM,4.207,,,,,
30,07/02/22 11:15:00  PM,4.207,,,,,
31,07/02/22 11:30:00  PM,4.207,,,,,
32,07/02/22 11:45:00  PM,4.102,,,,,
33,07/03/22 12:00:00  AM,4.102,,,,,
34,07/03/22 12:15:00  AM,3.998,,,,,
35,07/03/22 12:30:00  AM,3.998,,,,,
36,07/03/22 12:45:00  AM,3.893,,,,,
37,07/03/22 01:00:00  AM,3.788,,,,,
38,07/03/22 01:15:00  AM,3.788,,,,,
39,07/03/22 01:30:00  AM,3.788,,,,,
40,07/03/22 01:45:00  AM,3.683,,,,,
41,07/03/22 02:00:00  AM,3.683,,,,,
42,07/03/22 02:15:00  AM,3.683,,,,,
43,07/03/22 02:30:00  AM,3.578,,,,,
44,07/03/22 02:45:00  AM,3.578,,,,,
45,07/03/22 03:00:00  AM,3.578,,,,,
46,07/03/22 03:15:00  AM,3.472,,,,,
47,07/03/22 03:30:00  AM,3.472,,,,,
48,07/03/22 03:45:00  AM,3.367,,,,,
49,07/03/22 04:00:00  AM,3.367,,,,,
50,07/03/22 04:15:00  AM,3.367,,,,,
51,07/03/22 04:30:00  AM,3.367,,,,,
52,07/03/22 04:45:00  AM,3.261,,,,,
53,07/03/22 05:00:00  AM,3.261,,,,,
54,07/03/22 05:15:00  AM,3.261,,,,,
55,07/03/22 05:30:00  AM,3.155,,,,,
56,07/03/22 05:45:00  AM,3.155,,,,,
57,07/03/22 06:00:00  AM,3.155,,,,,
