"Plot Title: MEAD_13T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740233, SEN S/N: 9740233, LBL: -5cm_soil)","Coupler Attached (LGR S/N: 9740233)","Host Connected (LGR S/N: 9740233)","Stopped (LGR S/N: 9740233)","End Of File (LGR S/N: 9740233)"
1,06/30/22 02:00:00  PM,4.102,,,,
2,06/30/22 02:15:00  PM,4.102,,,,
3,06/30/22 02:30:00  PM,4.102,,,,
4,06/30/22 02:45:00  PM,4.102,,,,
5,06/30/22 03:00:00  PM,4.102,,,,
6,06/30/22 03:15:00  PM,3.998,,,,
7,06/30/22 03:30:00  PM,3.998,,,,
8,06/30/22 03:45:00  PM,3.998,,,,
9,06/30/22 04:00:00  PM,3.998,,,,
10,06/30/22 04:15:00  PM,3.998,,,,
11,06/30/22 04:30:00  PM,3.893,,,,
12,06/30/22 04:45:00  PM,3.893,,,,
13,06/30/22 05:00:00  PM,3.788,,,,
14,06/30/22 05:15:00  PM,3.683,,,,
15,06/30/22 05:30:00  PM,3.683,,,,
16,06/30/22 05:45:00  PM,3.578,,,,
17,06/30/22 06:00:00  PM,3.578,,,,
18,06/30/22 06:15:00  PM,3.472,,,,
19,06/30/22 06:30:00  PM,3.472,,,,
20,06/30/22 06:45:00  PM,3.472,,,,
21,06/30/22 07:00:00  PM,3.472,,,,
22,06/30/22 07:15:00  PM,3.367,,,,
23,06/30/22 07:30:00  PM,3.367,,,,
24,06/30/22 07:45:00  PM,3.367,,,,
25,06/30/22 08:00:00  PM,3.261,,,,
26,06/30/22 08:15:00  PM,3.261,,,,
27,06/30/22 08:30:00  PM,3.155,,,,
28,06/30/22 08:45:00  PM,3.155,,,,
29,06/30/22 09:00:00  PM,3.049,,,,
30,06/30/22 09:15:00  PM,2.837,,,,
31,06/30/22 09:30:00  PM,2.837,,,,
32,06/30/22 09:45:00  PM,2.730,,,,
33,06/30/22 10:00:00  PM,2.730,,,,
34,06/30/22 10:15:00  PM,2.730,,,,
35,06/30/22 10:30:00  PM,2.624,,,,
36,06/30/22 10:45:00  PM,2.624,,,,
37,06/30/22 11:00:00  PM,2.624,,,,
38,06/30/22 11:15:00  PM,2.517,,,,
39,06/30/22 11:30:00  PM,2.517,,,,
40,06/30/22 11:45:00  PM,2.517,,,,
41,07/01/22 12:00:00  AM,2.517,,,,
42,07/01/22 12:15:00  AM,2.410,,,,
43,07/01/22 12:30:00  AM,2.410,,,,
44,07/01/22 12:45:00  AM,2.410,,,,
45,07/01/22 01:00:00  AM,2.303,,,,
46,07/01/22 01:15:00  AM,2.303,,,,
47,07/01/22 01:30:00  AM,2.195,,,,
48,07/01/22 01:45:00  AM,2.195,,,,
49,07/01/22 02:00:00  AM,2.195,,,,
50,07/01/22 02:15:00  AM,2.195,,,,
51,07/01/22 02:30:00  AM,2.195,,,,
52,07/01/22 02:45:00  AM,2.195,,,,
53,07/01/22 03:00:00  AM,2.195,,,,
54,07/01/22 03:15:00  AM,2.303,,,,
55,07/01/22 03:30:00  AM,2.303,,,,
56,07/01/22 03:45:00  AM,2.410,,,,
57,07/01/22 04:00:00  AM,2.410,,,,
58,07/01/22 04:15:00  AM,2.410,,,,
59,07/01/22 04:30:00  AM,2.410,,,,
60,07/01/22 04:45:00  AM,2.410,,,,
61,07/01/22 05:00:00  AM,2.410,,,,
62,07/01/22 05:15:00  AM,2.303,,,,
63,07/01/22 05:30:00  AM,2.303,,,,
64,07/01/22 05:45:00  AM,2.303,,,,
65,07/01/22 06:00:00  AM,2.303,,,,
66,07/01/22 06:15:00  AM,2.410,,,,
67,07/01/22 06:30:00  AM,2.410,,,,
68,07/01/22 06:45:00  AM,2.410,,,,
69,07/01/22 07:00:00  AM,2.410,,,,
70,07/01/22 07:15:00  AM,2.517,,,,
71,07/01/22 07:30:00  AM,2.624,,,,
72,07/01/22 07:45:00  AM,2.730,,,,
73,07/01/22 08:00:00  AM,2.837,,,,
74,07/01/22 08:15:00  AM,2.837,,,,
75,07/01/22 08:30:00  AM,2.943,,,,
76,07/01/22 08:45:00  AM,2.943,,,,
77,07/01/22 09:00:00  AM,2.943,,,,
78,07/01/22 09:15:00  AM,3.049,,,,
79,07/01/22 09:30:00  AM,3.049,,,,
80,07/01/22 09:45:00  AM,3.261,,,,
81,07/01/22 10:00:00  AM,3.472,,,,
82,07/01/22 10:15:00  AM,3.683,,,,
83,07/01/22 10:30:00  AM,3.788,,,,
84,07/01/22 10:45:00  AM,3.893,,,,
85,07/01/22 11:00:00  AM,3.998,,,,
86,07/01/22 11:15:00  AM,3.998,,,,
87,07/01/22 11:30:00  AM,3.998,,,,
88,07/01/22 11:45:00  AM,3.893,,,,
89,07/01/22 12:00:00  PM,3.893,,,,
90,07/01/22 12:15:00  PM,3.788,,,,
91,07/01/22 12:30:00  PM,3.683,,,,
92,07/01/22 12:45:00  PM,3.683,,,,
93,07/01/22 01:00:00  PM,3.578,,,,
94,07/01/22 01:15:00  PM,3.578,,,,
95,07/01/22 01:30:00  PM,3.683,,,,
96,07/01/22 01:45:00  PM,3.788,,,,
97,07/01/22 02:00:00  PM,3.788,,,,
98,07/01/22 02:15:00  PM,3.788,,,,
99,07/01/22 02:30:00  PM,3.893,,,,
100,07/01/22 02:45:00  PM,3.893,,,,
101,07/01/22 03:00:00  PM,3.893,,,,
102,07/01/22 03:15:00  PM,3.998,,,,
103,07/01/22 03:30:00  PM,3.998,,,,
104,07/01/22 03:45:00  PM,3.998,,,,
105,07/01/22 04:00:00  PM,3.998,,,,
106,07/01/22 04:15:00  PM,3.893,,,,
107,07/01/22 04:30:00  PM,3.893,,,,
108,07/01/22 04:45:00  PM,3.788,,,,
109,07/01/22 05:00:00  PM,3.683,,,,
110,07/01/22 05:15:00  PM,3.683,,,,
111,07/01/22 05:30:00  PM,3.578,,,,
