"Plot Title: MEAD_14C_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10337435, SEN S/N: 10337435, LBL: -5cm_soil)","Coupler Attached (LGR S/N: 10337435)","Host Connected (LGR S/N: 10337435)","Stopped (LGR S/N: 10337435)","End Of File (LGR S/N: 10337435)"
1,06/30/22 02:00:00  PM,7.782,,,,
2,06/30/22 02:15:00  PM,7.782,,,,
3,06/30/22 02:30:00  PM,7.682,,,,
4,06/30/22 02:45:00  PM,7.582,,,,
5,06/30/22 03:00:00  PM,7.582,,,,
6,06/30/22 03:15:00  PM,7.381,,,,
7,06/30/22 03:30:00  PM,7.280,,,,
8,06/30/22 03:45:00  PM,7.179,,,,
9,06/30/22 04:00:00  PM,7.079,,,,
10,06/30/22 04:15:00  PM,6.978,,,,
11,06/30/22 04:30:00  PM,6.877,,,,
12,06/30/22 04:45:00  PM,6.775,,,,
13,06/30/22 05:00:00  PM,6.674,,,,
14,06/30/22 05:15:00  PM,6.471,,,,
15,06/30/22 05:30:00  PM,6.370,,,,
16,06/30/22 05:45:00  PM,6.268,,,,
17,06/30/22 06:00:00  PM,6.166,,,,
18,06/30/22 06:15:00  PM,6.064,,,,
19,06/30/22 06:30:00  PM,5.962,,,,
20,06/30/22 06:45:00  PM,5.860,,,,
21,06/30/22 07:00:00  PM,5.757,,,,
22,06/30/22 07:15:00  PM,5.552,,,,
23,06/30/22 07:30:00  PM,5.450,,,,
24,06/30/22 07:45:00  PM,5.347,,,,
25,06/30/22 08:00:00  PM,5.244,,,,
26,06/30/22 08:15:00  PM,5.244,,,,
27,06/30/22 08:30:00  PM,5.141,,,,
28,06/30/22 08:45:00  PM,5.037,,,,
29,06/30/22 09:00:00  PM,4.831,,,,
30,06/30/22 09:15:00  PM,4.727,,,,
31,06/30/22 09:30:00  PM,4.623,,,,
32,06/30/22 09:45:00  PM,4.623,,,,
33,06/30/22 10:00:00  PM,4.519,,,,
34,06/30/22 10:15:00  PM,4.415,,,,
35,06/30/22 10:30:00  PM,4.311,,,,
36,06/30/22 10:45:00  PM,4.311,,,,
37,06/30/22 11:00:00  PM,4.207,,,,
38,06/30/22 11:15:00  PM,4.207,,,,
39,06/30/22 11:30:00  PM,4.102,,,,
40,06/30/22 11:45:00  PM,4.102,,,,
41,07/01/22 12:00:00  AM,3.998,,,,
42,07/01/22 12:15:00  AM,3.998,,,,
43,07/01/22 12:30:00  AM,3.893,,,,
44,07/01/22 12:45:00  AM,3.788,,,,
45,07/01/22 01:00:00  AM,3.683,,,,
46,07/01/22 01:15:00  AM,3.683,,,,
47,07/01/22 01:30:00  AM,3.578,,,,
48,07/01/22 01:45:00  AM,3.578,,,,
49,07/01/22 02:00:00  AM,3.472,,,,
50,07/01/22 02:15:00  AM,3.472,,,,
51,07/01/22 02:30:00  AM,3.472,,,,
52,07/01/22 02:45:00  AM,3.472,,,,
53,07/01/22 03:00:00  AM,3.472,,,,
54,07/01/22 03:15:00  AM,3.578,,,,
55,07/01/22 03:30:00  AM,3.578,,,,
56,07/01/22 03:45:00  AM,3.578,,,,
57,07/01/22 04:00:00  AM,3.578,,,,
58,07/01/22 04:15:00  AM,3.578,,,,
59,07/01/22 04:30:00  AM,3.578,,,,
60,07/01/22 04:45:00  AM,3.472,,,,
61,07/01/22 05:00:00  AM,3.472,,,,
62,07/01/22 05:15:00  AM,3.472,,,,
63,07/01/22 05:30:00  AM,3.472,,,,
64,07/01/22 05:45:00  AM,3.472,,,,
65,07/01/22 06:00:00  AM,3.367,,,,
