"Plot Title: DRYAS_12T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547749, SEN S/N: 20547749, LBL: -5cm_soil)","Coupler Attached (LGR S/N: 20547749)","Host Connected (LGR S/N: 20547749)","Stopped (LGR S/N: 20547749)","End Of File (LGR S/N: 20547749)"
1,07/02/22 04:00:00  PM,6.166,,,,
2,07/02/22 04:30:00  PM,6.166,,,,
3,07/02/22 05:00:00  PM,6.064,,,,
4,07/02/22 05:30:00  PM,6.064,,,,
5,07/02/22 06:00:00  PM,5.962,,,,
6,07/02/22 06:30:00  PM,5.860,,,,
7,07/02/22 07:00:00  PM,5.757,,,,
8,07/02/22 07:30:00  PM,5.552,,,,
9,07/02/22 08:00:00  PM,5.450,,,,
10,07/02/22 08:30:00  PM,5.347,,,,
11,07/02/22 09:00:00  PM,5.141,,,,
12,07/02/22 09:30:00  PM,4.934,,,,
13,07/02/22 10:00:00  PM,4.831,,,,
14,07/02/22 10:30:00  PM,4.623,,,,
15,07/02/22 11:00:00  PM,4.415,,,,
16,07/02/22 11:30:00  PM,4.311,,,,
17,07/03/22 12:00:00  AM,4.207,,,,
18,07/03/22 12:30:00  AM,4.102,,,,
19,07/03/22 01:00:00  AM,3.893,,,,
20,07/03/22 01:30:00  AM,3.893,,,,
21,07/03/22 02:00:00  AM,3.788,,,,
22,07/03/22 02:30:00  AM,3.683,,,,
23,07/03/22 03:00:00  AM,3.578,,,,
24,07/03/22 03:30:00  AM,3.472,,,,
25,07/03/22 04:00:00  AM,3.367,,,,
26,07/03/22 04:30:00  AM,3.367,,,,
27,07/03/22 05:00:00  AM,3.367,,,,
28,07/03/22 05:30:00  AM,3.261,,,,
29,07/03/22 06:00:00  AM,3.261,,,,
30,07/03/22 06:30:00  AM,3.367,,,,
31,07/03/22 07:00:00  AM,3.578,,,,
32,07/03/22 07:30:00  AM,3.788,,,,
33,07/03/22 08:00:00  AM,3.998,,,,
34,07/03/22 08:30:00  AM,4.102,,,,
35,07/03/22 09:00:00  AM,4.207,,,,
36,07/03/22 09:30:00  AM,4.207,,,,
37,07/03/22 10:00:00  AM,4.207,,,,
38,07/03/22 10:30:00  AM,4.415,,,,
39,07/03/22 11:00:00  AM,4.519,,,,
40,07/03/22 11:30:00  AM,4.727,,,,
41,07/03/22 12:00:00  PM,4.727,,,,
42,07/03/22 12:30:00  PM,4.831,,,,
43,07/03/22 01:00:00  PM,4.934,,,,
44,07/03/22 01:30:00  PM,4.934,,,,
45,07/03/22 02:00:00  PM,4.934,,,,
46,07/03/22 02:30:00  PM,4.934,,,,
47,07/03/22 03:00:00  PM,4.727,,,,
48,07/03/22 03:30:00  PM,4.727,,,,
49,07/03/22 04:00:00  PM,4.519,,,,
50,07/03/22 04:30:00  PM,4.415,,,,
51,07/03/22 05:00:00  PM,4.311,,,,
52,07/03/22 05:30:00  PM,4.311,,,,
53,07/03/22 06:00:00  PM,4.207,,,,
54,07/03/22 06:30:00  PM,4.102,,,,
