"Plot Title: MEAD_11T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553059, SEN S/N: 20553059, LBL: -5cm_soil)","Coupler Attached (LGR S/N: 20553059)","Host Connected (LGR S/N: 20553059)","Stopped (LGR S/N: 20553059)","End Of File (LGR S/N: 20553059)"
1,06/30/22 02:00:00  PM,5.962,,,,
2,06/30/22 02:15:00  PM,5.962,,,,
3,06/30/22 02:30:00  PM,5.962,,,,
4,06/30/22 02:45:00  PM,5.962,,,,
5,06/30/22 03:00:00  PM,5.962,,,,
6,06/30/22 03:15:00  PM,5.962,,,,
7,06/30/22 03:30:00  PM,5.962,,,,
8,06/30/22 03:45:00  PM,6.064,,,,
9,06/30/22 04:00:00  PM,6.064,,,,
10,06/30/22 04:15:00  PM,6.064,,,,
11,06/30/22 04:30:00  PM,6.064,,,,
12,06/30/22 04:45:00  PM,6.064,,,,
13,06/30/22 05:00:00  PM,6.166,,,,
14,06/30/22 05:15:00  PM,6.166,,,,
15,06/30/22 05:30:00  PM,6.166,,,,
16,06/30/22 05:45:00  PM,6.166,,,,
17,06/30/22 06:00:00  PM,6.166,,,,
18,06/30/22 06:15:00  PM,6.166,,,,
19,06/30/22 06:30:00  PM,6.166,,,,
20,06/30/22 06:45:00  PM,6.166,,,,
21,06/30/22 07:00:00  PM,6.064,,,,
22,06/30/22 07:15:00  PM,6.064,,,,
23,06/30/22 07:30:00  PM,6.064,,,,
24,06/30/22 07:45:00  PM,6.064,,,,
25,06/30/22 08:00:00  PM,5.962,,,,
26,06/30/22 08:15:00  PM,5.962,,,,
27,06/30/22 08:30:00  PM,5.860,,,,
28,06/30/22 08:45:00  PM,5.757,,,,
29,06/30/22 09:00:00  PM,5.655,,,,
30,06/30/22 09:15:00  PM,5.552,,,,
31,06/30/22 09:30:00  PM,5.450,,,,
32,06/30/22 09:45:00  PM,5.347,,,,
33,06/30/22 10:00:00  PM,5.347,,,,
34,06/30/22 10:15:00  PM,5.244,,,,
35,06/30/22 10:30:00  PM,5.141,,,,
36,06/30/22 10:45:00  PM,5.037,,,,
37,06/30/22 11:00:00  PM,4.934,,,,
38,06/30/22 11:15:00  PM,4.934,,,,
39,06/30/22 11:30:00  PM,4.831,,,,
40,06/30/22 11:45:00  PM,4.727,,,,
41,07/01/22 12:00:00  AM,4.623,,,,
42,07/01/22 12:15:00  AM,4.623,,,,
43,07/01/22 12:30:00  AM,4.519,,,,
44,07/01/22 12:45:00  AM,4.415,,,,
45,07/01/22 01:00:00  AM,4.415,,,,
46,07/01/22 01:15:00  AM,4.311,,,,
47,07/01/22 01:30:00  AM,4.207,,,,
48,07/01/22 01:45:00  AM,4.207,,,,
49,07/01/22 02:00:00  AM,4.102,,,,
50,07/01/22 02:15:00  AM,4.102,,,,
51,07/01/22 02:30:00  AM,3.998,,,,
52,07/01/22 02:45:00  AM,3.893,,,,
53,07/01/22 03:00:00  AM,3.893,,,,
54,07/01/22 03:15:00  AM,3.788,,,,
55,07/01/22 03:30:00  AM,3.788,,,,
56,07/01/22 03:45:00  AM,3.683,,,,
57,07/01/22 04:00:00  AM,3.683,,,,
58,07/01/22 04:15:00  AM,3.683,,,,
59,07/01/22 04:30:00  AM,3.683,,,,
60,07/01/22 04:45:00  AM,3.578,,,,
61,07/01/22 05:00:00  AM,3.578,,,,
62,07/01/22 05:15:00  AM,3.578,,,,
63,07/01/22 05:30:00  AM,3.578,,,,
64,07/01/22 05:45:00  AM,3.578,,,,
65,07/01/22 06:00:00  AM,3.472,,,,
66,07/01/22 06:15:00  AM,3.472,,,,
67,07/01/22 06:30:00  AM,3.472,,,,
68,07/01/22 06:45:00  AM,3.472,,,,
69,07/01/22 07:00:00  AM,3.367,,,,
70,07/01/22 07:15:00  AM,3.367,,,,
71,07/01/22 07:30:00  AM,3.367,,,,
